D,d,alpha,z,u,mu_c,w1,w1p,b2,N2_visible,N2_tensor_Phi_0.2,N2_tensor_Phi_0.4,A_visible,A_tensor_Phi_0.2,A_tensor_Phi_0.4
3,1,0.0,3.0,1.9494177215189872,17.12809984132014,0.01799965447744344,-0.05424384497267522,0.024672851709562273,-0.11127783340037274,-0.11135092767160727,-0.11157073701309721,,,
3,1,0.0,3.0,1.9620632911392404,17.12809984132014,0.017328438551705308,-0.05193304952097074,0.0248982780489683,-0.10909520448797763,-0.10916641437731543,-0.10938055713292276,,,
3,1,0.0,3.0,1.9747088607594936,17.12809984132014,0.016685749622478173,-0.04973112486555904,0.025119431198556474,-0.10695514078124578,-0.10702452455937986,-0.10723317596396244,,,
3,1,0.0,3.0,1.9873544303797468,17.12809984132014,0.016070246095236967,-0.04763256292366624,0.025336415751352294,-0.10485729363920435,-0.1049249076293998,-0.10512823706004402,,,
3,1,0.0,3.0,2.0,17.12809984132014,0.015480654186734045,-0.045632144351913095,0.025549333358305046,-0.10280126171303629,-0.10286716034758168,-0.10306533149357332,,,
3,1,0.0,3.0,2.0629689180037842,17.12809984132014,0.012890668637921012,-0.03696951903714938,0.026552341453676246,-0.0931689701361683,-0.09322707588090165,-0.09340181288596716,,,
3,1,0.0,3.0,2.127920378324852,17.12809984132014,0.01072760903533294,-0.029914920285473826,0.02749556426005819,-0.08423566485825308,-0.08428688377056874,-0.0844409112557909,,,
3,1,0.0,3.0,2.1949168002355113,17.12809984132014,0.008923117966226224,-0.024181937607310633,0.028382421379824083,-0.0759976115637058,-0.07604275286974277,-0.07617850422587763,,,
3,1,0.0,3.0,2.2640225682450903,17.12809984132014,0.007419154177160514,-0.019531159992186676,0.029216186047988625,-0.06843696177278939,-0.06847674468982853,-0.06859638262270258,,,
3,1,0.0,3.0,2.3353040939743615,17.12809984132014,0.0061666328348742635,-0.015763824823456597,0.029999973984719305,-0.06152617125068326,-0.06156123276059716,-0.06166667268396011,,,
3,1,0.0,3.0,2.408829879978047,17.12809984132014,0.005124180989322475,-0.012715833740243494,0.03073673957376409,-0.055231372782481865,-0.05526227563589565,-0.055355209749911594,,,
3,1,0.0,3.0,2.4846705855767492,17.12809984132014,0.004257021776306912,-0.010252325877628827,0.03142927673084109,-0.04951492160947822,-0.04954216212159018,-0.04962408285971558,,,
3,1,0.0,3.0,2.562899094761547,17.12809984132014,0.0035359894748906934,-0.008262885904194502,0.03208022270304017,-0.04433729279774265,-0.04436130818734264,-0.04443353028649097,,,
3,1,0.0,3.0,2.6435905862365536,17.12809984132014,0.00293667044589248,-0.006657394187392055,0.03269206362424567,-0.03965847711882018,-0.03967965226425724,-0.03974333307996157,,,
3,1,0.0,3.0,2.726822605666706,17.12809984132014,0.002438660902595465,-0.005362485564348783,0.03326714104850116,-0.03543898736386179,-0.03545766092709962,-0.035513818847606474,,,
3,1,0.0,3.0,2.812675140200252,17.12809984132014,0.0020249304335548473,-0.004318561735125276,0.03380765896791594,-0.031640565726876256,-0.03165703564642197,-0.031706566608609765,,,
3,1,0.0,3.0,2.9012306953375275,17.12809984132014,0.0016812795090972625,-0.0034772932957054525,0.03431569097548085,-0.02822666261456537,-0.02824119099531521,-0.028284883187077142,,,
3,1,0.0,3.0,2.9925743742199127,17.12809984132014,0.0013958793630234586,-0.002799546115651151,0.03479318738353221,-0.02516274174860181,-0.02517555919146486,-0.025214106069608902,,,
3,1,0.0,3.0,3.0867939594151523,17.12809984132014,0.0011588833041454715,-0.002253669919219769,0.03524198215640844,-0.022416455457088397,-0.02242776487894047,-0.022461776654697563,,,
3,1,0.0,3.0,3.183979997277647,17.12809984132014,0.0009620994456499509,-0.001814092433479908,0.03566379959795744,-0.01995772294208404,-0.019967702937433756,-0.019997716684106055,,,
3,1,0.0,3.0,3.284225884964779,17.12809984132014,0.0007987158890650123,-0.0014601689710250821,0.0360602607370221,-0.017758737439305596,-0.0177675452336231,-0.017794033766568712,,,
