D,d,alpha,z,valid,reason,seconds,mu_c,zero_nodes,zero_rms,mu2,b2_fredholm_residual,metric_nodes,metric_rms,metric_anchor_rel_error,response_Finf,response_anchor_rel_error
5,3,1.0,4.0,True,,0.021422863006591797,20.32600168064785,889.0,9.289641293828395e-07,,,,,,-4.7094847504624585e-09,
5,3,1.0,5.0,True,,0.020099401473999023,25.118170699483112,854.0,9.658370753980604e-07,,,,,,-1.0594085566009562e-08,
5,3,1.5,1.0,True,,0.023952484130859375,6.555541909699563,1145.0,9.823397293111107e-07,,,,,,-1.576020226572503e-11,
5,3,1.5,1.5,True,,0.017345428466796875,8.91138978576647,1013.0,9.938107328682178e-07,,,,,,-9.860615924601806e-11,
5,3,1.5,2.0,True,,0.01778435707092285,11.296414312804762,979.0,8.886536715024907e-07,,,,,,-3.1657433423932884e-10,
5,3,1.5,2.5,True,,0.020364046096801758,13.69324318923265,950.0,9.537205754555297e-07,,,,,,-7.518004379241384e-10,
5,3,1.5,3.0,True,,0.01978278160095215,16.091347147708042,925.0,9.798962891325142e-07,,,,,,-1.4995097029801901e-09,
5,3,1.5,4.0,True,,0.023742198944091797,20.87061789721005,887.0,9.811011515493473e-07,,,,,,-4.366504424729028e-09,
5,3,1.5,5.0,True,,0.022118091583251953,25.61422452896954,850.0,9.877421021376862e-07,,,,,,-9.866292964954537e-09,
5,3,2.0,1.0,True,,0.02564382553100586,7.428819329070033,1155.0,9.890313653199467e-07,,,,,,-1.2108779313867956e-11,
5,3,2.0,1.5,True,,0.01739954948425293,9.751038728631316,1006.0,9.938261739446398e-07,,,,,,-8.212939836031805e-11,
5,3,2.0,2.0,True,,0.019190073013305664,12.093569193445568,981.0,9.835313723172599e-07,,,,,,-2.764038166575417e-10,
5,3,2.0,2.5,True,,0.02174854278564453,14.447987183590504,950.0,9.981102491408531e-07,,,,,,-6.737366119359089e-10,
5,3,2.0,3.0,True,,0.01946282386779785,16.807307279433388,924.0,9.019305558255485e-07,,,,,,-1.3644717151321914e-09,
5,3,2.0,4.0,True,,0.021289825439453125,21.5234683486459,881.0,9.935320590722837e-07,,,,,,-4.037021025528978e-09,
5,3,2.0,5.0,True,,0.01872706413269043,26.221983928269964,846.0,9.964021474936658e-07,,,,,,-9.194720816733135e-09,
5,3,3.0,1.0,True,,0.03148460388183594,9.159042147674814,1166.0,9.973558822511008e-07,,,,,,-5.9891606276019155e-12,
5,3,3.0,1.5,True,,0.019979000091552734,11.459729853944431,1009.0,9.565966047642395e-07,,,,,,-5.227669152852795e-11,
5,3,3.0,2.0,True,,0.016876220703125,13.761086449079995,965.0,8.975202081606003e-07,,,,,,-1.9945484748650491e-10,
5,3,3.0,2.5,True,,0.01700592041015625,16.067505018416085,934.0,9.540902007233946e-07,,,,,,-5.215422116930421e-10,
5,3,3.0,3.0,True,,0.021259784698486328,18.378231460844436,921.0,9.699750377079673e-07,,,,,,-1.1024026077208588e-09,
5,3,3.0,4.0,True,,0.019336223602294922,23.00579399327122,875.0,9.970427459186262e-07,,,,,,-3.4182076304238406e-09,
5,3,3.0,5.0,True,,0.020956039428710938,27.63218804216263,844.0,9.797152465117148e-07,,,,,,-7.974391198476867e-09,
5,3,4.0,1.0,True,,0.031874895095825195,10.867361981672062,1274.0,9.91944878038944e-07,,,,,,-2.6358412024337476e-12,
5,3,4.0,1.5,True,,0.024023771286010742,13.17408714571579,1019.0,8.678603932489476e-07,,,,,,-3.105325932790842e-11,
5,3,4.0,2.0,True,,0.018564224243164062,15.463763067026155,970.0,9.74602478377405e-07,,,,,,-1.3715619696646844e-10,
5,3,4.0,2.5,True,,0.018344402313232422,17.749458721582094,933.0,9.605541191450983e-07,,,,,,-3.89941788412447e-10,
5,3,4.0,3.0,True,,0.0210115909576416,20.035164494816804,907.0,9.831475221701494e-07,,,,,,-8.686812420814248e-10,
5,3,4.0,4.0,True,,0.01995229721069336,24.609525698546456,874.0,9.917505187805742e-07,,,,,,-2.859703668702278e-09,
5,3,4.0,5.0,True,,0.01961684226989746,29.185913516935297,837.0,9.082568481687611e-07,,,,,,-6.886546555028968e-09,
