D,d,theta,z,case_id,case_label,quantity,thermodynamic_scheme,reliability_class,source_rule,epsilon_horizon,mu_branch,F_iso_visible,F_aniso_visible,DeltaF_visible,T_deltaF_visible,solver_success,solver_message,case_free_energy_scale,DeltaF,T_deltaF,F_iso,F_aniso,y_value,y_label
3,1,0.0,4.0,case_II,"Case II: hidden SU(2), alpha_dm=0.8",free_energy_probe_diagnostic,probe_YM_on_shell_action_1609_style,probe_diagnostic_not_full_renormalized_grand_potential,strict_minimal_hidden_SU2_muX0,0.001,21.548021968395688,-696.4758761256946,-696.5023328410238,-0.026456715329118197,-0.026450544195630022,True,The algorithm converged to the desired accuracy.,0.84,-0.022223640876459283,-0.022219982919527898,-696.4758761256946,-696.498099766571,-0.022219982919527898,tanh(Delta F / V_d)
3,1,0.0,4.0,case_IIIa,Case III-a: homogeneous adjoint scalar,free_energy_probe_diagnostic,probe_YM_on_shell_action_1609_style,probe_diagnostic_not_full_renormalized_grand_potential,leading_order_isotropic_null,0.001,21.548021968395688,-696.4758761256946,-696.5023328410238,-0.026456715329118197,-0.026450544195630022,True,The algorithm converged to the desired accuracy.,1.0,-0.026456715329118197,-0.026450544195630022,-696.4758761256946,-696.5023328410238,-0.026450544195630022,tanh(Delta F / V_d)
3,1,0.0,4.0,case_IIIb,Case III-b: tensor portal,free_energy_probe_diagnostic,probe_YM_on_shell_action_1609_style,probe_diagnostic_not_full_renormalized_grand_potential,tensor_portal_source_weight_prescription,0.001,21.548021968395688,-696.4758761256946,-696.5023328410238,-0.026456715329118197,-0.026450544195630022,True,The algorithm converged to the desired accuracy.,1.0026782849278204,-0.02652757395102381,-0.026521353109794657,-696.4758761256946,-696.5024036996457,-0.026521353109794657,tanh(Delta F / V_d)
3,1,0.0,5.0,visible_baseline,Visible baseline,free_energy_probe_diagnostic,probe_YM_on_shell_action_1609_style,probe_diagnostic_not_full_renormalized_grand_potential,strict_probe_YM,0.001,25.972691018715757,-1349.1613575073563,-1349.2154898495235,-0.05413234216712226,-0.054079529213286966,True,The algorithm converged to the desired accuracy.,1.0,-0.05413234216712226,-0.054079529213286966,-1349.1613575073563,-1349.2154898495235,-0.054079529213286966,tanh(Delta F / V_d)
3,1,0.0,5.0,case_I,Case I: temporal hidden U(1),free_energy_probe_diagnostic,probe_YM_on_shell_action_1609_style,probe_diagnostic_not_full_renormalized_grand_potential,leading_order_isotropic_null,0.001,25.972691018715757,-1349.1613575073563,-1349.2154898495235,-0.05413234216712226,-0.054079529213286966,True,The algorithm converged to the desired accuracy.,1.0,-0.05413234216712226,-0.054079529213286966,-1349.1613575073563,-1349.2154898495235,-0.054079529213286966,tanh(Delta F / V_d)
3,1,0.0,5.0,case_II,"Case II: hidden SU(2), alpha_dm=0.8",free_energy_probe_diagnostic,probe_YM_on_shell_action_1609_style,probe_diagnostic_not_full_renormalized_grand_potential,strict_minimal_hidden_SU2_muX0,0.001,25.972691018715757,-1349.1613575073563,-1349.2154898495235,-0.05413234216712226,-0.054079529213286966,True,The algorithm converged to the desired accuracy.,0.84,-0.045471167420382694,-0.04543985417893428,-1349.1613575073563,-1349.2068286747767,-0.04543985417893428,tanh(Delta F / V_d)
3,1,0.0,5.0,case_IIIa,Case III-a: homogeneous adjoint scalar,free_energy_probe_diagnostic,probe_YM_on_shell_action_1609_style,probe_diagnostic_not_full_renormalized_grand_potential,leading_order_isotropic_null,0.001,25.972691018715757,-1349.1613575073563,-1349.2154898495235,-0.05413234216712226,-0.054079529213286966,True,The algorithm converged to the desired accuracy.,1.0,-0.05413234216712226,-0.054079529213286966,-1349.1613575073563,-1349.2154898495235,-0.054079529213286966,tanh(Delta F / V_d)
3,1,0.0,5.0,case_IIIb,Case III-b: tensor portal,free_energy_probe_diagnostic,probe_YM_on_shell_action_1609_style,probe_diagnostic_not_full_renormalized_grand_potential,tensor_portal_source_weight_prescription,0.001,25.972691018715757,-1349.1613575073563,-1349.2154898495235,-0.05413234216712226,-0.054079529213286966,True,The algorithm converged to the desired accuracy.,1.0034247054707033,-0.05431772949548399,-0.05426437250341266,-1349.1613575073563,-1349.215675236852,-0.05426437250341266,tanh(Delta F / V_d)
3,1,0.5,1.0,visible_baseline,Visible baseline,free_energy_probe_diagnostic,probe_YM_on_shell_action_1609_style,probe_diagnostic_not_full_renormalized_grand_potential,strict_probe_YM,0.001,3.886909967577049,-3.777017274012454,-4.399176830795238,-0.6221595567827838,-0.5526298472127152,True,The algorithm converged to the desired accuracy.,1.0,-0.6221595567827838,-0.5526298472127152,-3.777017274012454,-4.399176830795238,-0.5526298472127152,tanh(Delta F / V_d)
3,1,0.5,1.0,case_I,Case I: temporal hidden U(1),free_energy_probe_diagnostic,probe_YM_on_shell_action_1609_style,probe_diagnostic_not_full_renormalized_grand_potential,leading_order_isotropic_null,0.001,3.886909967577049,-3.777017274012454,-4.399176830795238,-0.6221595567827838,-0.5526298472127152,True,The algorithm converged to the desired accuracy.,1.0,-0.6221595567827838,-0.5526298472127152,-3.777017274012454,-4.399176830795238,-0.5526298472127152,tanh(Delta F / V_d)
