D,scan,x,case,mu_c_visible,mu_c_value,mu_ratio
5,theta,1.7750000000000001,vis,11.729332570448069,11.729332570448069,1.0
5,theta,1.7750000000000001,I,11.729332570448069,11.729332570448069,1.0
5,theta,1.7750000000000001,II,11.729332570448069,9.840563909752385,0.8389704913428393
5,theta,1.7750000000000001,III-a,11.729332570448069,11.729332570448069,1.0
5,theta,1.7750000000000001,III-b,11.729332570448069,11.729332570448069,1.0
5,theta,1.8,vis,11.769528879743856,11.769528879743856,1.0
5,theta,1.8,I,11.769528879743856,11.769528879743856,1.0
5,theta,1.8,II,11.769528879743856,9.87428742711244,0.8389704913428393
5,theta,1.8,III-a,11.769528879743856,11.769528879743856,1.0
5,theta,1.8,III-b,11.769528879743856,11.769528879743856,1.0
5,theta,1.8250000000000002,vis,11.809818789430881,11.809818789430881,1.0
5,theta,1.8250000000000002,I,11.809818789430881,11.809818789430881,1.0
5,theta,1.8250000000000002,II,11.809818789430881,9.908089472438721,0.8389704913428393
5,theta,1.8250000000000002,III-a,11.809818789430881,11.809818789430881,1.0
5,theta,1.8250000000000002,III-b,11.809818789430881,11.809818789430881,1.0
5,theta,1.85,vis,11.850191587904988,11.850191587904988,1.0
5,theta,1.85,I,11.850191587904988,11.850191587904988,1.0
5,theta,1.85,II,11.850191587904988,9.941961059011428,0.8389704913428393
5,theta,1.85,III-a,11.850191587904988,11.850191587904988,1.0
5,theta,1.85,III-b,11.850191587904988,11.850191587904988,1.0
5,theta,1.875,vis,11.890636563562017,11.890636563562017,1.0
5,theta,1.875,I,11.890636563562017,11.890636563562017,1.0
5,theta,1.875,II,11.890636563562017,9.975893200110756,0.8389704913428393
5,theta,1.875,III-a,11.890636563562017,11.890636563562017,1.0
5,theta,1.875,III-b,11.890636563562017,11.890636563562017,1.0
5,theta,1.9000000000000001,vis,11.931143004797818,11.931143004797818,1.0
5,theta,1.9000000000000001,I,11.931143004797818,11.931143004797818,1.0
5,theta,1.9000000000000001,II,11.931143004797818,10.009876909016905,0.8389704913428393
5,theta,1.9000000000000001,III-a,11.931143004797818,11.931143004797818,1.0
5,theta,1.9000000000000001,III-b,11.931143004797818,11.931143004797818,1.0
5,theta,1.925,vis,11.971700200008229,11.971700200008229,1.0
5,theta,1.925,I,11.971700200008229,11.971700200008229,1.0
5,theta,1.925,II,11.971700200008229,10.043903199010071,0.8389704913428393
5,theta,1.925,III-a,11.971700200008229,11.971700200008229,1.0
5,theta,1.925,III-b,11.971700200008229,11.971700200008229,1.0
5,theta,1.9500000000000002,vis,12.012297437589096,12.012297437589096,1.0
5,theta,1.9500000000000002,I,12.012297437589096,12.012297437589096,1.0
5,theta,1.9500000000000002,II,12.012297437589096,10.077963083370454,0.8389704913428393
5,theta,1.9500000000000002,III-a,12.012297437589096,12.012297437589096,1.0
5,theta,1.9500000000000002,III-b,12.012297437589096,12.012297437589096,1.0
5,theta,1.975,vis,12.052924005936259,12.052924005936259,1.0
5,theta,1.975,I,12.052924005936259,12.052924005936259,1.0
5,theta,1.975,II,12.052924005936259,10.112047575378245,0.8389704913428393
5,theta,1.975,III-a,12.052924005936259,12.052924005936259,1.0
5,theta,1.975,III-b,12.052924005936259,12.052924005936259,1.0
5,theta,2.0,vis,12.093569193445568,12.093569193445568,1.0
5,theta,2.0,I,12.093569193445568,12.093569193445568,1.0
5,theta,2.0,II,12.093569193445568,10.146147688313652,0.8389704913428393
5,theta,2.0,III-a,12.093569193445568,12.093569193445568,1.0
5,theta,2.0,III-b,12.093569193445568,12.093569193445568,1.0
5,theta,2.025,vis,12.134260721255561,12.134260721255561,1.0
5,theta,2.025,I,12.134260721255561,12.134260721255561,1.0
5,theta,2.025,II,12.134260721255561,10.180286679393895,0.8389704913428393
5,theta,2.025,III-a,12.134260721255561,12.134260721255561,1.0
5,theta,2.025,III-b,12.134260721255561,12.134260721255561,1.0
5,theta,2.0500000000000003,vis,12.175031946329769,12.175031946329769,1.0
5,theta,2.0500000000000003,I,12.175031946329769,12.175031946329769,1.0
5,theta,2.0500000000000003,II,12.175031946329769,10.214492534127052,0.8389704913428393
5,theta,2.0500000000000003,III-a,12.175031946329769,12.175031946329769,1.0
5,theta,2.0500000000000003,III-b,12.175031946329769,12.175031946329769,1.0
5,theta,2.075,vis,12.2158806108015,12.2158806108015,1.0
5,theta,2.075,I,12.2158806108015,12.2158806108015,1.0
5,theta,2.075,II,12.2158806108015,10.2487633582296,0.8389704913428393
5,theta,2.075,III-a,12.2158806108015,12.2158806108015,1.0
5,theta,2.075,III-b,12.2158806108015,12.2158806108015,1.0
5,theta,2.1,vis,12.256804456804074,12.256804456804074,1.0
5,theta,2.1,I,12.256804456804074,12.256804456804074,1.0
5,theta,2.1,II,12.256804456804074,10.283097257418017,0.8389704913428393
5,theta,2.1,III-a,12.256804456804074,12.256804456804074,1.0
5,theta,2.1,III-b,12.256804456804074,12.256804456804074,1.0
5,theta,2.125,vis,12.297801226470805,12.297801226470805,1.0
5,theta,2.125,I,12.297801226470805,12.297801226470805,1.0
5,theta,2.125,II,12.297801226470805,10.317492337408783,0.8389704913428393
5,theta,2.125,III-a,12.297801226470805,12.297801226470805,1.0
5,theta,2.125,III-b,12.297801226470805,12.297801226470805,1.0
5,theta,2.15,vis,12.338868661935003,12.338868661935003,1.0
5,theta,2.15,I,12.338868661935003,12.338868661935003,1.0
5,theta,2.15,II,12.338868661935003,10.35194670391837,0.8389704913428393
5,theta,2.15,III-a,12.338868661935003,12.338868661935003,1.0
5,theta,2.15,III-b,12.338868661935003,12.338868661935003,1.0
5,theta,2.1750000000000003,vis,12.380004505329987,12.380004505329987,1.0
5,theta,2.1750000000000003,I,12.380004505329987,12.380004505329987,1.0
5,theta,2.1750000000000003,II,12.380004505329987,10.386458462663263,0.8389704913428393
5,theta,2.1750000000000003,III-a,12.380004505329987,12.380004505329987,1.0
5,theta,2.1750000000000003,III-b,12.380004505329987,12.380004505329987,1.0
5,theta,2.2,vis,12.421206498789074,12.421206498789074,1.0
5,theta,2.2,I,12.421206498789074,12.421206498789074,1.0
5,theta,2.2,II,12.421206498789074,10.421025719359937,0.8389704913428393
5,theta,2.2,III-a,12.421206498789074,12.421206498789074,1.0
5,theta,2.2,III-b,12.421206498789074,12.421206498789074,1.0
5,theta,2.225,vis,12.462472384445572,12.462472384445572,1.0
5,theta,2.225,I,12.462472384445572,12.462472384445572,1.0
5,theta,2.225,II,12.462472384445572,10.455646579724867,0.8389704913428393
5,theta,2.225,III-a,12.462472384445572,12.462472384445572,1.0
5,theta,2.225,III-b,12.462472384445572,12.462472384445572,1.0
5,theta,2.25,vis,12.5037999044328,12.5037999044328,1.0
5,theta,2.25,I,12.5037999044328,12.5037999044328,1.0
5,theta,2.25,II,12.5037999044328,10.490319149474534,0.8389704913428393
5,theta,2.25,III-a,12.5037999044328,12.5037999044328,1.0
5,theta,2.25,III-b,12.5037999044328,12.5037999044328,1.0
5,theta,2.275,vis,12.545186800884073,12.545186800884073,1.0
5,theta,2.275,I,12.545186800884073,12.545186800884073,1.0
5,theta,2.275,II,12.545186800884073,10.525041534325412,0.8389704913428393
5,theta,2.275,III-a,12.545186800884073,12.545186800884073,1.0
