accepted_points,alpha_dm,c2,c2_sign,c4,claim2_candidate,delta2,fit_success,max_abs_residual,message,mu0,mu0_minus_mu_c,mu_X,mu_c,point_key,psi_sq_max,psi_sq_min,rmse,closure_mode,classification,mu_extremal_max
4,1.2,0.022310400663667216,positive,-0.0006592486612436047,False,0.15,True,3.9789016526015075e-09,,2.9940567347896474,0.0006932989786530008,0.0,2.9933634358109944,d0.15_a1.2_nu0.0,0.06277799498020457,0.003917170429299892,2.580918243828357e-09,,,
4,1.2,0.028653388296460244,positive,-0.001281356168759916,False,0.15,True,3.665198367031053e-09,,3.0191558957592814,0.0005871711258289558,0.5,3.0185687246334525,d0.15_a1.2_nu0.5,0.05356433771141552,0.0033407936843477086,2.377303531516599e-09,,,
4,1.2,0.04102188261775633,positive,-0.0032109734117274575,False,0.15,True,1.013713113451331e-09,,3.021969389576112,0.0004602578730366069,1.0,3.0215091317030756,d0.15_a1.2_nu1.0,0.04209027434583194,0.002623022839547956,6.574438019936386e-10,,,
4,1.2,0.07302170876220437,positive,-0.014393443980396917,False,0.15,True,2.87359869233228e-09,,2.989346144004197,0.0003108134391966999,1.5,2.989035330565,d0.15_a1.2_nu1.5,0.028100019180785276,0.0017475869378059659,1.863209228065471e-09,,,
4,1.2,0.2670637094272676,positive,-0.46382384432583157,False,0.15,True,6.510138073068106e-08,,2.8815843861601027,0.0001290508395728196,2.0,2.88145533532053,d0.15_a1.2_nu2.0,0.010930643962241282,0.0006710143063241926,4.2145971337791683e-08,,,
4,1.6,0.02038273776325809,positive,-0.0007453505104316278,False,0.15,True,1.7912431538036344e-09,,2.3149583918618997,0.0006662650816910975,0.0,2.3142921267802086,d0.15_a1.6_nu0.0,0.07706872905964086,0.00480593818193549,1.1618039395492118e-09,,,
4,1.6,0.026848325016311597,positive,-0.0014997947166493358,False,0.15,True,1.1518883624717091e-09,,2.42908871364113,0.0005690834952241097,0.5,2.4285196301459058,d0.15_a1.6_nu0.5,0.06639218544041131,0.004137152241008902,7.470502807868752e-10,,,
4,1.6,0.04000238144502865,positive,-0.004097782491549641,False,0.15,True,2.8985862599029133e-09,,2.5321353710136174,0.00044685367886287963,1.0,2.5316885173347545,d0.15_a1.6_nu1.0,0.05246039248208578,0.003264418186688084,1.879538730692558e-09,,,
4,1.6,0.0773858255219483,positive,-0.0219064780508561,False,0.15,True,1.0089397317614157e-08,,2.611275046926148,0.000297879985590388,1.5,2.6109771669405575,d0.15_a1.6_nu1.5,0.03466733509332728,0.002149013638321698,6.5392804420833215e-09,,,
4,1.6,0.43677562015383387,positive,-1.809226574207115,False,0.15,True,5.972168808376921e-07,,2.6174848232157086,0.00010704548053164231,2.0,2.617377777735177,d0.15_a1.6_nu2.0,0.01116592382888526,0.0006679792682623565,3.855287892509576e-07,,,
