D,d,theta,z,Delta,U,nh,A,m2,status,message,u,Phi,Phi2
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,4.943612546400505,0.0679371358429591,0.004615454426544678
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,5.01658093645125,0.0668769213970449,0.004472522615546522
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,5.090626349811693,0.06583260130109907,0.004333931394069471
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,5.1657646834916084,0.06480396377359274,0.00419955372076912
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,5.242012069142781,0.0637907987197204,0.004069266001299882
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,5.319384876522361,0.06279289776374193,0.003942948009567747
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,5.397899717007326,0.061810054294096216,0.003820482811839122
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,5.4775734471608315,0.06084206363981087,0.003701756707950796
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,5.558423172351177,0.05988872304182341,0.0035866591475802304
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,5.640466250424222,0.058949831569513216,0.003475082642073977
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,5.72372029542997,0.05802519014165348,0.00336692269097504
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,5.808203181404195,0.057114601560025936,0.0032620777113605173
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,5.893933046205848,0.05621787066677686,0.00316044898230645
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,5.9809282954111405,0.05533480430524253,0.003061940567499487
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,6.069207606265072,0.05446521123462164,0.0029664592348319554
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,6.158789931691313,0.05360890214157365,0.0028739143888248195
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,6.249694504361243,0.052765689664330276,0.002784218005752411
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,6.341940840823082,0.05193538853311386,0.0026972845820854943
