D,d,theta,z,Delta,U,nh,A,m2,status,message,W,u_star_proxy,Phi_at_ustar,relative_portal_shift
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,0.14375,6.9565217391304355,0.046980438998223316,0.0022071616484657824
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,0.14583333333333331,6.857142857142858,0.04771973764102657,0.0022771733605284083
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,0.14791666666666667,6.76056338028169,0.04845967288046333,0.002348339895681513
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,0.15000000000000002,6.666666666666666,0.04920022570322138,0.0024206622092479255
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,0.15208333333333335,6.575342465753424,0.049941377460216214,0.002494141182623792
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,0.15416666666666667,6.486486486486486,0.05068310986642188,0.002568777625731791
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,0.15625,6.4,0.05142540499529011,0.002644572278929609
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,0.15833333333333333,6.315789473684211,0.05216824526958984,0.0027215258145080828
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,0.16041666666666665,6.233766233766234,0.05291161345228584,0.0027996388381241154
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,0.1625,6.153846153846153,0.05365549263523452,0.0028789118899297055
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,0.16458333333333333,6.075949367088608,0.05439986621666404,0.0029593454443909454
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,0.16666666666666669,5.999999999999999,0.05514471789095973,0.0030409399112735344
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,0.16875,5.925925925925926,0.05589003164042969,0.0031236956367682316
