alpha_dm,gamma,mu_ratio,stress,fd,old_mu,old_stress
0.184,-0.10122607024756888,0.9949065934464878,0.9916211203722131,0.010142787026493821,0.9957590069891409,0.991536
0.188,-0.10364798641351337,0.9946612530774496,0.9912570836418353,0.010628721738734376,0.9955721972815432,0.991164
0.192,-0.10607996982374313,0.9944091667432189,0.9908856057916476,0.011127739984890294,0.9953813339620148,0.990784
0.196,-0.10852205470380015,0.9941502657459318,0.9905067136351897,0.011639952216683402,0.9951864146982715,0.990396
0.2,-0.11097427455984053,0.9938844810138522,0.9901204347021147,0.012165468348085243,0.99498743710662,0.99
0.20400000000000001,-0.11343666215452194,0.9936117431078082,0.9897267972412367,0.012704397702394994,0.9947843987518099,0.989596
0.20800000000000002,-0.11590924948245757,0.9933319822279436,0.9893258302232354,0.013256848958117027,0.9945772971468834,0.989184
0.212,-0.11839206774537127,0.9930451282207821,0.9889175633430058,0.013822930093670789,0.9943661297530201,0.988764
0.216,-0.12088514732668329,0.9927511105866279,0.9885020270216304,0.014402748330876972,0.9941508939793797,0.988336
0.22,-0.12338851776580925,0.9924498584872937,0.9880792524079655,0.01499641007728757,0.9939315871829408,0.9879
0.224,-0.12590220773198474,0.9921413007541715,0.9876492713798233,0.015604020867324703,0.9937082066683358,0.987456
0.228,-0.12842624499768243,0.9918253658966502,0.9872121165447331,0.01622568530225064,0.9934807496876826,0.987004
0.232,-0.13096065641164173,0.9915019821108872,0.9867678212402672,0.0168615069889837,0.9932492134404134,0.986544
0.23600000000000002,-0.13350546787146758,0.9911710772889404,0.9863164195339131,0.017511588477760437,0.9930135950730986,0.986076
0.24,-0.13606070429585362,0.9908325790282656,0.9858579462224789,0.018176031198670537,0.9927738916792685,0.9856
0.244,-0.13862638959637236,0.9904864146415903,0.9853924368310103,0.01885493539706409,0.9925301002992302,0.985116
0.248,-0.1412025466489114,0.9901325111671633,0.984919927611208,0.019548400067867833,0.9922822179198819,0.984624
0.252,-0.1437891972646726,0.9897707953793946,0.9844404555393215,0.020256522888806226,0.9920302414745228,0.984124
0.256,-0.14638636216082032,0.9894011937998851,0.9839540583135088,0.02097940015256992,0.9917741678426597,0.983616
0.26,-0.14899406093074233,0.9890236327088547,0.9834607743506407,0.02171712669794352,0.9915139938498094,0.9831
0.264,-0.15161231201391767,0.9886380381569777,0.9829606427825313,0.02246979583991411,0.9912497162672986,0.982576
0.268,-0.15424113266545328,0.9882443359776246,0.9824537034515805,0.02323749929880354,0.9909813318120579,0.982044
0.272,-0.15688053892521436,0.9878424517995259,0.9819399969058075,0.02402032712843015,0.9907088371464141,0.981504
0.276,-0.1595305455866487,0.9874323110598516,0.9814195643932587,0.024818367643358312,0.9904322288778774,0.980956
