D,scan,x,W,case,baseline_value,response_value,response_ratio,relative_to_visible,observable
3,theta,0.6000000000000001,0.1,vis,7.780714181330144e-05,7.780714181330144e-05,1.0,0.0,DeltaS_int^(2)
3,theta,0.6000000000000001,0.1,I,7.780714181330144e-05,7.780714181330144e-05,1.0,0.0,DeltaS_int^(2)
3,theta,0.6000000000000001,0.1,II,7.780714181330144e-05,6.781430484234734e-05,0.871569154989243,-0.12843084501075697,DeltaS_int^(2)
3,theta,0.6000000000000001,0.1,III-a,7.780714181330144e-05,7.780714181330144e-05,1.0,0.0,DeltaS_int^(2)
3,theta,0.6000000000000001,0.1,III-b,7.780714181330144e-05,7.78837724601347e-05,1.0009848793445868,0.0009848793445867976,DeltaS_int^(2)
3,theta,0.625,0.1,vis,7.801684979366284e-05,7.801684979366284e-05,1.0,0.0,DeltaS_int^(2)
3,theta,0.625,0.1,I,7.801684979366284e-05,7.801684979366284e-05,1.0,0.0,DeltaS_int^(2)
3,theta,0.625,0.1,II,7.801684979366284e-05,6.799707984958542e-05,0.871569154989243,-0.12843084501075697,DeltaS_int^(2)
3,theta,0.625,0.1,III-a,7.801684979366284e-05,7.801684979366284e-05,1.0,0.0,DeltaS_int^(2)
3,theta,0.625,0.1,III-b,7.801684979366284e-05,7.809381236656247e-05,1.0009864865487799,0.0009864865487798635,DeltaS_int^(2)
3,theta,0.65,0.1,vis,7.823644526393735e-05,7.823644526393735e-05,1.0,0.0,DeltaS_int^(2)
3,theta,0.65,0.1,I,7.823644526393735e-05,7.823644526393735e-05,1.0,0.0,DeltaS_int^(2)
3,theta,0.65,0.1,II,7.823644526393735e-05,6.818847248805204e-05,0.871569154989243,-0.12843084501075697,DeltaS_int^(2)
3,theta,0.65,0.1,III-a,7.823644526393735e-05,7.823644526393735e-05,1.0,0.0,DeltaS_int^(2)
3,theta,0.65,0.1,III-b,7.823644526393735e-05,7.831374206717844e-05,1.000987989714772,0.0009879897147719863,DeltaS_int^(2)
3,theta,0.675,0.1,vis,7.846498360220337e-05,7.846498360220337e-05,1.0,0.0,DeltaS_int^(2)
3,theta,0.675,0.1,I,7.846498360220337e-05,7.846498360220337e-05,1.0,0.0,DeltaS_int^(2)
3,theta,0.675,0.1,II,7.846498360220337e-05,6.83876594544172e-05,0.871569154989243,-0.12843084501075697,DeltaS_int^(2)
3,theta,0.675,0.1,III-a,7.846498360220337e-05,7.846498360220337e-05,1.0,0.0,DeltaS_int^(2)
3,theta,0.675,0.1,III-b,7.846498360220337e-05,7.854261647739838e-05,1.0009893951624151,0.000989395162415141,DeltaS_int^(2)
3,theta,0.7000000000000001,0.1,vis,7.870152018653927e-05,7.870152018653927e-05,1.0,0.0,DeltaS_int^(2)
3,theta,0.7000000000000001,0.1,I,7.870152018653927e-05,7.870152018653927e-05,1.0,0.0,DeltaS_int^(2)
3,theta,0.7000000000000001,0.1,II,7.870152018653927e-05,6.859381744535088e-05,0.871569154989243,-0.12843084501075697,DeltaS_int^(2)
3,theta,0.7000000000000001,0.1,III-a,7.870152018653927e-05,7.870152018653927e-05,1.0,0.0,DeltaS_int^(2)
3,theta,0.7000000000000001,0.1,III-b,7.870152018653927e-05,7.87794905168419e-05,1.0009907093296015,0.0009907093296015468,DeltaS_int^(2)
3,theta,0.7250000000000001,0.1,vis,7.894511039502348e-05,7.894511039502348e-05,1.0,0.0,DeltaS_int^(2)
3,theta,0.7250000000000001,0.1,I,7.894511039502348e-05,7.894511039502348e-05,1.0,0.0,DeltaS_int^(2)
3,theta,0.7250000000000001,0.1,II,7.894511039502348e-05,6.880612315752313e-05,0.871569154989243,-0.12843084501075697,DeltaS_int^(2)
3,theta,0.7250000000000001,0.1,III-a,7.894511039502348e-05,7.894511039502348e-05,1.0,0.0,DeltaS_int^(2)
3,theta,0.7250000000000001,0.1,III-b,7.894511039502348e-05,7.902341903527099e-05,1.0009919378142063,0.0009919378142062563,DeltaS_int^(2)
3,theta,0.75,0.1,vis,7.919480960573432e-05,7.919480960573432e-05,1.0,0.0,DeltaS_int^(2)
