point_key,delta2,alpha_dm,mu_X,mu_c,w0,success,message,residual_inf,temperature,mu,source,vev,rho,rho_d,epsilon,p_bar,Omega_ren,minus_p_bar,psi_abs,psi_sq,mu_minus_mu_c,accepted
d0.10_a0.8_nu1.0,0.1,0.8,1.0,3.459038440285072,0.08,True,,1.2212453270876722e-13,0.15146868659297616,3.4610704381499997,-5.8301887623235515e-15,0.23755519723192847,0.7729477614073531,0.477385233424243,3.065650831566927,1.0148066357960488,-1.0386668751973023,-1.0148066357960488,0.23755519723192847,0.056432471731900434,0.0020319978649276926,True
d0.10_a0.8_nu1.5,0.1,0.8,1.5,3.4390883438451336,0.02,True,,6.661338147750939e-16,0.12512411018786246,3.43980621826387,-1.0695654431569501e-16,0.05549549518118646,0.808005590941522,0.5752152193145702,3.308218203343131,1.0945435437733977,-1.1201652524476418,-1.0945435437733977,0.05549549518118646,0.0030797499854050897,0.0007178744187363861,True
d0.10_a0.8_nu1.5,0.1,0.8,1.5,3.4390883438451336,0.04,True,,2.220446049250313e-15,0.1251532506235877,3.4400645552182123,1.214306433183765e-17,0.11100851992034758,0.8081903668659958,0.5753280982552244,3.3087991955999314,1.094737928653558,-1.1207810521713115,-1.094737928653558,0.11100851992034758,0.012322891494906205,0.0009762113730786837,True
d0.10_a0.8_nu1.5,0.1,0.8,1.5,3.4390883438451336,0.06,True,,1.9984014443252818e-15,0.12520180265334516,3.4404951120496334,-1.0104764247564901e-16,0.1665565999851995,0.8084983889923685,0.5755162709832977,3.3097678269687094,1.09506201028762,-1.1218074617983809,-1.09506201028762,0.1665565999851995,0.02774110099862976,0.0014067682044998087,True
d0.10_a0.8_nu1.5,0.1,0.8,1.5,3.4390883438451336,0.08,True,,4.440892098500626e-16,0.12526974205391475,3.4410979064885816,-5.399326818977812e-17,0.22215726790690016,0.8089298037981771,0.5757798354893156,3.3111245805712315,1.095515953238646,-1.123244829716202,-1.095515953238646,0.22215726790690016,0.04935385168385821,0.002009562643447982,True
d0.10_a0.8_nu2.0,0.1,0.8,2.0,3.4012725886364477,0.02,True,,3.1086244689504383e-15,0.0953572037072653,3.401891759322198,2.763089236579308e-16,0.05049185302493455,0.8404204475699876,0.6721811447568553,3.5868065239992575,1.1861481105115672,-1.2157221417358874,-1.1861481105115672,0.05049185302493455,0.0025494272218915923,0.0006191706857503476,True
d0.10_a0.8_nu2.0,0.1,0.8,2.0,3.4012725886364477,0.04,True,,1.6653345369377348e-15,0.09539120115971328,3.402166634022365,-3.415236843329339e-17,0.10100336461879794,0.8406017419923295,0.6722925687342173,3.5874010961997556,1.1863461175280463,-1.2164118339369823,-1.1863461175280463,0.10100336461879794,0.010201679664317844,0.0008940453859174191,True
d0.10_a0.8_nu2.0,0.1,0.8,2.0,3.4012725886364477,0.06,True,,1.5543122344752192e-15,0.09544784031808647,3.402624786667313,2.45029690981724e-17,0.15155419252244579,0.8409040192625186,0.6724783559494808,3.588392413999827,1.1866762525442027,-1.2175616249385721,-1.1866762525442027,0.15155419252244579,0.02296867327113056,0.0013521980308652815,True
d0.10_a0.8_nu2.0,0.1,0.8,2.0,3.4012725886364477,0.08,True,,1.4432899320127035e-15,0.09552709016721546,3.4032662084705914,-1.2533377113932431e-16,0.2021639853237608,0.8413273995084416,0.6727385836046609,3.5897809768921434,1.1871386864013402,-1.2191717087009626,-1.1871386864013402,0.2021639853237608,0.040870276961985766,0.0019936198341437006,True
d0.10_a1.2_nu0.0,0.1,1.2,0.0,3.06402436507849,0.02,True,,6.661338147750939e-16,0.21865868346081518,3.064946809102478,1.9786689647860456e-17,0.06773378178408825,0.6130524206138757,0.3678483805294979,2.4328394188814855,0.8067254183206387,-0.8200066686997889,-0.8067254183206387,0.06773378178408825,0.004587865194774485,0.0009224440239878895,True
