D,d,theta,z,mu,F_aniso,F_iso,DeltaF,T_deltaF,quad_err,success,solver_message
3,1,1.0,2.5,12.868561252264884,-207.01671752079807,-206.99983587911646,-0.016881641681607107,-0.016880038165693424,0.00013975374101843352,True,The algorithm converged to the desired accuracy.
3,1,1.0,3.0,15.467838912301298,-358.89468674415787,-358.8810609253533,-0.013625818804541723,-0.013624975597311536,0.0007489192308991477,True,The algorithm converged to the desired accuracy.
3,1,1.0,4.0,20.40446935678338,-832.7181749596164,-832.6847394638239,-0.03343549579244609,-0.03342304182037906,0.00011492435733876163,True,The algorithm converged to the desired accuracy.
3,1,1.0,5.0,25.149254212559146,-1581.2915898213685,-1581.21246861981,-0.07912120155856428,-0.07895651003134779,2.466867592615385e-05,True,The algorithm converged to the desired accuracy.
3,1,1.5,1.0,3.7982443326884443,-10.850848534287827,-10.819995008099914,-0.03085352618791326,-0.03084373967832034,5.280132821332793e-07,True,The algorithm converged to the desired accuracy.
3,1,1.5,1.5,6.888740805511597,-47.47468866359785,-47.45474988552057,-0.019938778077282393,-0.01993613624460741,9.2611570963394e-06,True,The algorithm converged to the desired accuracy.
3,1,1.5,2.0,9.790702159833382,-119.83208295368185,-119.82231097820755,-0.009771975474293981,-0.00977166443929391,8.089484898482491e-05,True,The algorithm converged to the desired accuracy.
3,1,1.5,2.5,12.524991083163876,-235.32203670161113,-235.3131024500019,-0.00893425160921879,-0.00893401390361707,0.00049096703453122,True,The algorithm converged to the desired accuracy.
3,1,1.5,3.0,15.13921472792826,-401.10716148708156,-401.0926895120599,-0.014471975021649541,-0.014470964778820187,0.0023525051670389985,True,The algorithm converged to the desired accuracy.
3,1,1.5,4.0,20.13391293173943,-912.1335711896465,-912.0925123714447,-0.04105881820180457,-0.041035761067836685,9.030867195528036e-05,True,The algorithm converged to the desired accuracy.
3,1,1.5,5.0,24.93852199565345,-1710.4013314175681,-1710.3071681511499,-0.09416326641826345,-0.09388594349221445,2.4179999510709482e-05,True,The algorithm converged to the desired accuracy.
3,1,2.0,1.0,4.004814195068067,-16.04527574860785,-16.038536737018692,-0.006739011589157684,-0.00673890957523072,2.33396792257215e-06,True,The algorithm converged to the desired accuracy.
3,1,2.0,1.5,6.889195902012731,-59.33111350886283,-59.32627522038626,-0.004838288476570085,-0.004838250723701542,4.005419261687848e-05,True,The algorithm converged to the desired accuracy.
3,1,2.0,2.0,9.685504264840095,-140.71883503696083,-140.7134892963535,-0.005345740607339167,-0.00534568968628033,0.0002598702453766588,True,The algorithm converged to the desired accuracy.
3,1,2.0,2.5,12.375632190040987,-268.0331488046547,-268.0234761805627,-0.009672624091990656,-0.009672322447482472,0.0015301291896676616,True,The algorithm converged to the desired accuracy.
3,1,2.0,3.0,14.976520442984272,-448.6103136095015,-448.59232915825163,-0.017984451249844824,-0.01798251253411266,4.257993082805358e-05,True,The algorithm converged to the desired accuracy.
3,1,2.0,4.0,19.98338080300235,-998.3885192905916,-998.3387707945074,-0.04974849608424847,-0.04970749560852669,9.840849056132195e-05,True,The algorithm converged to the desired accuracy.
3,1,2.0,5.0,24.81692891847416,-1847.750944468171,-1847.6398828337974,-0.11106163437352734,-0.11060723935113852,2.6743874140700008e-05,True,The algorithm converged to the desired accuracy.
3,1,3.0,1.0,11.822988812812731,-209.68255752333138,-209.67459670184252,-0.007960821488865122,-0.007960653321626585,0.0004373886283237649,True,The algorithm converged to the desired accuracy.
3,1,3.0,1.5,7.165374829509081,-89.85279027258731,-89.84954378288401,-0.003246489703300881,-0.003246478297678109,0.00046958578568312426,True,The algorithm converged to the desired accuracy.
3,1,3.0,2.0,9.801048412862174,-192.12879978214232,-192.1210999825363,-0.007699799606029956,-0.007699647443852827,5.7038706295143606e-06,True,The algorithm converged to the desired accuracy.
3,1,3.0,2.5,12.397450121779665,-345.8332739486168,-345.8177314245329,-0.015542524083912213,-0.015541272668701776,5.105003558350009e-05,True,The algorithm converged to the desired accuracy.
3,1,3.0,3.0,14.947267353973878,-558.5798833943043,-558.5520033779331,-0.027880016371113925,-0.02787279494769453,0.00013638025202179077,True,The algorithm converged to the desired accuracy.
3,1,3.0,4.0,19.92113196727211,-1190.6259062730621,-1190.5544965724125,-0.07140970064961039,-0.071288566816668,3.1621825849814655e-05,True,The algorithm converged to the desired accuracy.
3,1,3.0,5.0,24.76422541727527,-2146.584261969506,-2146.434011811679,-0.15025015782703122,-0.14912963714822602,3.2655261325675866e-05,True,The algorithm converged to the desired accuracy.
